index,category,text
35000,REAL,Expert U.S. panel develops NIH treatment guidelines for COVID-19 https://t.co/WJLUeQCoit
35001,REAL,Should WHO-recommended preventive therapies be maintained in sub-Saharan Africa?
35002,REAL,George Floyd 20 page autopsy report released; he tested positive for COVID-19 in April???  https://t.co/6cBqiQVhuM
35003,REAL,"What is the BEST cow’s milk alternative? Take into account whatever factors—taste, cost, nutrition, environmental impact, etc."
35004,REAL,"@petersonchris_ @Medscape @906_mduda 
Pitia hapa then ukaangalie ile tafiti kuna vitu tunaweza pata"
35005,FAKE,@ObserversTimes1 Na wa ooo... you even use fake statement support am. Tiri gbosa for you
35006,REAL,"Taking a hot bath does not prevent the new coronavirus disease

@WHO 

#COVID19 https://t.co/ICKNQ6YHDc"
35007,REAL,"GMA’s George Stephanopoulos Diagnosed with Coronavirus at 59, Describes His 2 Minor Symptoms https://t.co/HFLT5RFjLm via @JustJared"
35008,FAKE,Shanghai Government Officially Recommends Vitamin C for COVID-19 https://t.co/RHBNtmDfIg
35009,REAL,@HMcTweet Me knew you both did! 😍 Thanks yous! 😍
35010,REAL,"There is so much information circulating about the #coronavirus, so it is important to sort fact from fiction. The @WHO offers some great info here: https://t.co/18Z4ypkabX"
35011,REAL,"NPR: Six Tips For Safe Grocery Shopping During A Pandemic | Life Kit | NPR.
https://t.co/PPX0cId840

via @GoogleNews"
35012,REAL,New post: Nephrologists on Lessons Learned With Kidney Disease in COVID-19 https://t.co/WRMfVCDNPU
35013,REAL,"“I would rather he not be taking something that has not been approved by the scientists, especially in his age group, and in his, shall we say, weight group: ‘Morbidly obese,’ they say,” says House Speaker Nancy Pelosi on Pres. Trump’s revelation he is taking hydroxychloroquine. https://t.co/0ImjpEjg9q"
35014,REAL,"How This Utah Woman with Diabetes, Asthma, and MS Beat COVID-19 https://t.co/8aErVH5wM2 via @healthline"
35015,REAL,@MayoClinic @VP @GovTimWalz @MayoClinic you forgot to add the photo of @VP #MikePence not wearing a mask endangering everyone! https://t.co/b0Ov7EwIGD
35016,REAL,FAQs for Law Enforcement Agencies and Personnel
35017,REAL,@DoD_DHA Good reminder...as you scroll through your Twitter feed 🤣
35018,REAL,@MrXathon @voteTimLombard @LeoVaradkar 2KM is only in relation to exercise
35019,REAL,1 in 10 Hospitalized Diabetic COVID Patients Dies https://t.co/ESnexNfkfB
35020,REAL,@Mudsilll @Renshaw1921 @JimmyDangerous @CNN You can literally say that about any disease.
35021,REAL,Cytokine Storms May Be Fueling Some COVID Deaths https://t.co/LNiijZDVYU from @WebMD #COVID19
35022,REAL,Got Questions About Social Distancing? These Experts Have Answers
35023,FAKE,@RoyEacups Article has #satire tag
35024,REAL,"@JJDianeM @KathyTavoularis @GavinNewsom Doctors wear masks in a sterile environment. You can not compare that with wearing a cloth mask over and over again, outside. This is completely ridiculous. Everyone needs to focus on boosting their own health inste"
35025,REAL,"@TheCollectiveQ Wait, lets start the clock before #FauciFraud says they are endangering lives !"
35026,REAL,Education secretary announces coronavirus tests for schoolchildren https://t.co/asqWqicm0N
