index,category,text
75000,REAL,"These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. 

Most people (about 80%) recover from the disease without needing special treatment."
75001,REAL,Guidance for U.S. Centers for Disease Control and Prevention Staff for the Establishment and Management of Public Health Rapid Response Teams for Disease Outbreaks: COVID-19 Disease Supplement Infographic
75002,REAL,@mainroadly 昨天特意去看了，确实有。今天又没了。我觉得WHO可能也觉得这个自己证据不足吧。希望WHO如果有确实的实验数据，可以公示出来。
75003,REAL,Why hand washing really could slow down an epidemic https://t.co/WUQ2BpQzp2
75004,REAL,"Are there any specific medicines to prevent or treat the new coronavirus (2019-nCov)?

Courtesy: World Health Organization https://t.co/zpUt2IyI0r"
75005,REAL,How COVID is Affecting U.S. Food Supply Chain https://t.co/OjHQiugNBE
75006,FAKE,The enemy are being exposed!!  And There It Is... Michigan Governor Gretchen Whitmer Bans Buying US Flags During Lockdown https://t.co/64DJ5H2U8y
75007,REAL,@Pittstock @psfnyc5 @ChantGregoria @ChiefLizWarren @Mongo3804 @JorgeR26950111 @MrFly187 @Dennisabm @hrt6017 @FairStability @sandycedar59 @ToccyLa @YesPISTLiberty @cbowling4512 @UncleAntiFa_ @SwoleKyloRen @wookietim @JDW714 @gorillastyle @danfoc77 @MasterP
75008,REAL,"@Princessbaylee @TODAYshow The rioters have killed over 125,000 people? I hadn’t heard.  Even the Vietnam war killed “only” less than half that many. #WearAMask"
75009,REAL,@joaoluism KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
75010,REAL,Antibody tests may answer public health questions. https://t.co/OfgEY2Uica (via @WebMD)
75011,REAL,"@RT_com You mean as ""normal"" as any dictatorship can be?

Come on RT, Question More!"
75012,REAL,U.S. Lockdowns Trigger Surge in Domestic Violence https://t.co/P6IGYr8jO5
75013,REAL,@gunnsmithtx Great question.
75014,REAL,How can I reduce my risk of getting COVID-19?
75015,REAL,"@Lutzoid @partly_bearded Now the atmosphere is different. Cortana's design has changed to be clothed and to reflect a change in character. But largely I think as a corporation, Microsoft and the dev realised that perhaps it was time to change it because t"
75016,FAKE,Unser Staatsfunk nennt sie Demonstranten  -  #BSD #VV #BillGates #RFID #NWO #GG146 #CoronaProtest #Qorona #COVIDー19 #Kontaktverbot #VV #ddbradio #WHO #Impfen #Impfplicht   -  https://t.co/uQYXiz3O4D https://t.co/nWAT98eoru
75017,FAKE,@FelixWankel125 @flatearthstuff Using natural news as a source 🤣🤣🤣
