index,category,text
50000,REAL,COVID Surges Among Young Adults https://t.co/HipdfYnBfy from @WebMD
50001,FAKE,"@PressTV In Iran think that US and Israel are behind , right ? 
Against Iranian people . Biological war ?"
50002,REAL,Rapid weather swings increase flu risk https://t.co/Qz2nDM2Ycu via @circleboom
50003,REAL,"@GovernorVA @VaNationalGuard Tennessee is already doing 10,000 tests and they have 2 million less people than Va!"
50004,REAL,Nograles: The facilities are being prepared by the DPWH and EEI Corporation and when completed this will have 700 beds.
50005,REAL,"@VodkaMuse @Scottcrates Me, too. No big deal. I just packed in more groceries."
50006,REAL,"Small business owners call federal coronavirus relief programs a ""hot mess"" @CBSMoneyWatch rpts: https://t.co/roDbGvlF9j"
50007,REAL,"- Body glucose concentration should be [ 72 - 180 mg/dL ] 
- A1C should be &lt; 7%"
50008,REAL,@TomekDeptuch a w Polsce luz i mydlenie oczu niedostateczną liczbą testów i tematem zastępczym-wyborami 10 maja
50009,REAL,"NIH clinical trial testing antiviral remdesivir plus anti-inflammatory drug baricitinib for COVID-19 begins https://t.co/hKDXQDKOGG 
First step"
50010,REAL,Placentas from COVID-19-positive pregnant women show injury - Northwestern Now https://t.co/xbjDjGOQuV
50011,REAL,@brsquared The New God Argument has restored faith in God for many people who were atheist or becoming atheist.
50012,REAL,"New coronavirus targets cells in the nose, lungs, and gut https://t.co/NNkrxtg3fC via @healthline"
50013,REAL,"@trailmanNate @washingtonpost On January 31, Trump issued a ban on travel from China"
50014,REAL,@florzinhaszx KKSKSKSKSJSKKKK
50015,REAL,@NIH Geez. Wish you sped up all cures like this. Obviously it can be done.
50016,REAL,".@spettypi discusses what caused President Trump to shift away from trying to re-open the country by Easter.

“This is not going to peak all in one place at the same time, in May in Texas there might be a peak ... whereas in New York or Michigan ... we may see a peak sooner.” https://t.co/4yuw9boNZB"
50017,REAL,COVID-19 virus can be transmitted in areas with hot and humid climates https://t.co/QvYFWvk1qe
50018,REAL,@PaulRidley5 Agreed
50019,FAKE,"21 million Chinese died of coronavirus – US intelligence officials intercept data

https://t.co/tvOalXsYaJ 

#SiayaBurial #100BobForFelix #COVID19 #EasterMonday #MondayMotivaton #Covid_19"
50020,REAL,@PresidentPat I think those of us who are completely hands-on/textbook free struggle the most with distant learning! It would be so much easier to just assign a chapter in the book! 🙄 Breaks my heart to even think about it! But if anyone has advice/sug
50021,REAL,"COVID Surges Among Young Adults
https://t.co/LosvZgolCi"
50022,REAL,"@laralogan This ring is used to optimize sleep.   They started collecting data from this ring, if you opted in, to see if they could predict COVID."
50023,REAL,Thomas Salzano: How to Protect Yourself While Traveling During the Coronavirus Outbreak https://t.co/SC1Yi0bFn8 via @2MonkeysTravel
50024,REAL,Antiviral Remdesivir Prevents Disease Progression in Monkeys with COVID-19 https://t.co/dXbH3TKo1n #remdesivir
50025,REAL,Parasite Drug Shows Early Promise Against COVID-19 https://t.co/xbsLzgu9rJ from @WebMD
50026,REAL,"@TrU3Ta1ent 2/2 is said data to be used to nerf swf somehow? to prove what we already know, swf is powerful? to cast blame on a loss from? because that is how people would abuse this information. not to mention the additional abuse players would get for p"
50027,REAL,"What is the reason behind? 
Yes, of course, all the credit goes to our behavior we are ignoring government's lockdown guidelines for CORONAVIRUS?
Ok, we appreciate HEC decision to continue Online classes, but here is the problem
2/7
#COVIDー19"
50028,REAL,"Some countries have asked #Oman to help them with medical supplies: Health Minister

@OmaniMOH
#CoronaUpdate
#عمان_تواجه_كورونا"
50029,REAL,Coronavirus (COVID-19) Update:  FDA Authorizes First Standalone At-Home Sample Collection Kit That Can Be Used With Certain Authorized Tests
50030,REAL,"A study from Wuhan shows lying face down improves breathing in severe COVID-19. https://t.co/LP8xKOoTSc
#COVID19 #Coronavirus"
50031,REAL,"@mattdesmier Here you go, stay safe! https://t.co/y7qc6GIxD3"
50032,REAL,"""Taking a hot bath does not prevent the new coronavirus disease"". 

Q?
 https://t.co/B9N5QGOoP5"
50033,REAL,@omihatescops no amount of reasoning can counter the learned fear reaction our people have to serpents.
50034,REAL,@NYGovCuomo Please close the schools.
50035,REAL,COVID Keeping People With Lung Diseases Out of ER https://t.co/ZMr4v1P7ae
50036,REAL,Should I Wear a Mask to Protect Myself? https://t.co/w3z0dSPmf5
50037,REAL,"Confusion, seizure, strokes: How COVID-19 may affect the brain https://t.co/r9PG3lC46G"
50038,REAL,How Do You Choose Who Gets a Ventilator? https://t.co/nUpEmZBYZO
50039,REAL,Widespread Face Mask Use Could Control a Second Wave. Do you have your mask? https://t.co/q0itqPPboU
50040,REAL,"A day earlier, the prime minister said that the death rate in the country from the coronavirus was 
""lower than feared"". https://t.co/CPXlpkFWjn"
50041,REAL,@Chronolxgical But why do we need it now most?
50042,REAL,People Mount Strong Immune Responses to COVID-19 https://t.co/bgYuc7oDcA
50043,REAL,"14. On Jun.28, one account began to make ghost pictures, and asked 💊1⃣'s fans to stop hating on ww. But this person is not a yunqi, more likely a 💊1⃣'s teammate's fan. And GUARDWIN has dealt with this account, asking yunqis to report it."
50044,FAKE,"@PolitiFact Hmmm similar numbers to bail out airline corps and ALL of ""small business""...I'd say that's bailing out Wall St and not Main St"
50045,REAL,"@Mares4Life I know some veterinarians feel weird about it, but Lab Animal Vet Med references might have more info on pain management in sheep."
50046,REAL,How the pandemic is affecting mental health in diverse US communities https://t.co/43C0Kh4l05 via @healthline
50047,REAL,"@thedailybeast It's a start but much more is needed. Healthcare personnel need equipment, for example."
50048,FAKE,@K12Lioness @LindaWarriorGal This has yet to be reproduced and published in peer-reviewed medical literature.
50049,REAL,"Atomic structures mapped in measles, mumps, flu and RSV https://t.co/7tGaA2yBxM"
50050,REAL,"COVID-19 linked to cardiac injury, worse outcomes for patients with heart conditions https://t.co/VCt2oz0ei3"
50051,REAL,"2. Can spraying alcohol or chlorine all over your body kill the new coronavirus?

No. Spraying alcohol or chlorine on your body will not kill viruses that have already entered your body. Rather, spraying such substances can be harmful to clothes or mucous membranes (eyes, mouth)."
50052,REAL,"Missing link in coronavirus jump from bats to humans could be pangolins, not snakes https://t.co/9UagsvaE1c"
50053,FAKE,@DowdEdward Gates can personally test it first then
50054,REAL,That Cough or Sneeze Behind You Might Not Be COVID: Study https://t.co/kobXlrufQd
50055,FAKE,@rawlingsimpact @ObserversTimes1 Bro’s don’t carry everybody along do singular not plural..... Biko🙏🏽
50056,REAL,"In total we have 2 x 2 x 2 = 8 different views on your data. No matter what you use, mobile, desktop, tablet you’ll get the best presentation"
50057,REAL,"Not answering, it’s in all the local papers now, everyone thinks you should have shut the store"
50058,REAL,"@zachheltzel The week ending 6/20, per the CDC's COVID-NET data, 2.5 out of every 100,000 people in the area for which they are collecting data (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN, IA, MI, OH, UT) were hospitalized from COVID-19. The cumulative figure"
50059,REAL,"COMMENTARY: AMSA President: COVID-19 Shouldn't Sideline Med Students
https://t.co/NT1ovykfgo"
50060,REAL,"@toIVFandbeyond And how can we possibly defend this move? To do so would be to argue that we think IVF is more important than cancer. In normal circumstances it's an 'as well as' not an either/or. In this case we have no defence, because *their* decision "
50061,REAL,Coronavirus: Virological findings from patients treated in a Munich hospital | EurekAlert! Science News - https://t.co/88kTQOLOPX
50062,FAKE,Lab-Made Coronavirus Triggers Debate https://t.co/EVihIeepea
50063,REAL,@DonWagnerCA https://t.co/uE1Nbln4Yb
50064,REAL,"Data was published today on Scotland’s R number. What is 'R' and how does mathematical modelling support our response to #COVID19? @AFSRachel explains in a bite-sized lecture double bill
Flattening the curve https://t.co/HsWLqWcsFo
R number &amp; herd immunity https://t.co/pCjdiEZRXN https://t.co/rw6797slL4"
50065,REAL,More Good News on Remdesivir's Power to Treat COVID-19 https://t.co/FBoYav8eob
50066,REAL,Why hand washing really could slow down an epidemic https://t.co/DMG9Nb7hmf
50067,REAL,"Viral, Antibody Test Number Policy Sows Confusion https://t.co/sdG0OyS3h6"
50068,REAL,"@takenInhandLife @TheOfficerTatum @dougducey Science? The science is showing us it’s barely worse than the flu. If the NYC study is right, it’s less deadly than the flu just more contagious."
50069,REAL,7/ @BerkeleyLabETA's Nan Zhou's presentation will cover decarbonizing industry in China and the challenge of global coordination. https://t.co/89AWip3zgD
50070,FAKE,@Gen09171066 @bearjew1964 Bill and Melinda Gates Foundation &amp; Others Predicted Up To 65 Million Deaths Via Coronavirus – In Simulation Ran 3 Months Ago! https://t.co/tw5bvTx09J
50071,FAKE,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://t.co/naZg11sLGC"
50072,REAL,"- Note from Sam - COVID-19 vaccine candidate shows promise, research shows https://t.co/xIpV1gVVlE"
50073,REAL,"@DailyMailUK Not really a shock, more to the point to what are these tests doing to help the process ? “You don’t have covid “ Brilliant go back home and sit and watch tv go shopping tomorrow to potentially catch it 🤔"
50074,REAL,15. Drinking alcohol does not protect you against COVID-19 and can be dangerous https://t.co/ZrLN61q046
50075,FAKE,RT @whyohwhyfather: @BarristerSecret https://t.co/181DOzF2Qs
50076,REAL,@Sandwich_lov @Sinatra_Says How do you know if it’s the flu? That’s the thing ... you don’t and you need to go to a doctor so they can order the tests.
50077,REAL,"Zink said the person self-isolated as soon as he began experiencing symptoms and asked to be tested. He was treated at Alaska Regional Hospital, and is now in isolation. https://t.co/CEwdFdbTCk"
50078,REAL,'A no-win situation' — Expert weighs in on COVID-19 racial disparities - Medical News Today https://t.co/XFeHRafyC5 https://t.co/Mz4CxX6kmz
50079,REAL,"NIH clinical trial of investigational vaccine for COVID-19 begins.
Study enrolling Seattle-based healthy adult volunteers.
#coronavirus #COVID19
#coronavirustexas #CoronavirusOutbreak

https://t.co/TssrciUBkF"
50080,REAL,"@MayorJenny @SeattlePD @CityofSeattle So be honest, it only happened because they marched to your house.  Until then you didn't care one bit about the innocent people,  victims, 
businesses and  people killed the chop zone. People see right though you."
50081,REAL,7 Tips to Keep Your Skin Healthy While Washing Your Hands Often https://t.co/WBBOz3ybkg
50082,REAL,Good News on Remdesivir's Power to Treat COVID-19 https://t.co/N86tuhDPm5 from @WebMD
50083,REAL,@dallasnews Hold your breath.
50084,REAL,"If one country mitigates #climatechange through #geoengineering, could someone else counter that? How dangerous would it be? Via @AGU_Eos https://t.co/lhm8dSvEti"
50085,REAL,.@WHO FACT: there is no evidence that regularly rinsing the nose with saline has protected people from infection with the new #coronavirus 10/ https://t.co/nUKoLZTODv
50086,REAL,Stay safe.
50087,REAL,Researchers Report First U.S. Dog With Coronavirus - https://t.co/Y09cBTFNku
50088,REAL,"There is no benefit found in using broad-spectrum antibiotics as initial pneumonia treatment.

Research published in @JAMAInternalMed via Matt Samore, @barbarajonesMD @vasaltlakecity @SLC_IDEAS #UofUHealth

https://t.co/teGcygDZCv"
50089,REAL,Some COVID-19 patients still have coronavirus after symptoms disappear https://t.co/CS8M7CiVkC
50090,REAL,NIH begins clinical trial of hydroxychloroquine and azithromycin to treat COVID-19 https://t.co/s5YdnLMnDF
50091,REAL,@DrZweliMkhize What does Dr Mccarthy think of centralized food distribution by the ANC and stopping NGO's from providing meals to people?
50092,REAL,A potential new weapon in the war against superbugs https://t.co/tL3K8ERjPt
50093,REAL,"@care_DIR Very good initiative. 👍🏻
Taken the survey. When can we expect the result?"
