,index,tweet_id,tweet_content
1,100001,1243968198111789058,"2. Only older adults and young people are at risk.

SARS-CoV-2, like other coronaviruses, can infect people of any age. However, older adults or individuals with preexisting health conditions, such as diabetes or asthma, are more likely to become severely ill."
2,100001,1242474839966765056,"2. Only older adults and young people are at risk

COVID-19, like other coronaviruses, can infect people of any age. However, older adults or individuals with preexisting health conditions, such as diabetes or asthma, are more likely to become severely ill."
3,100001,1242461115616866304,"#Corona Myth &amp; Reality.

Myth: Only older adults and young people are at risk.

Reality: People of all ages can be infected by the #CoronaVirus however older people &amp; people with medical conditions might be more likely to become severely ill with the virus
#SatyHome #StayPositive"
5,100001,1238131052582928385,"COVID-19 is just like the flu

Only older adults and young people are at risk coronaviruses can infect people of any age. However, older adults or individuals with preexisting health conditions, such as diabetes or asthma, are more likely to become severely ill."
6,100002,1254164579459854336,@5151mpk1 @grumpyMichael @ScottMorrisonMP have you seen this? I thought you and your experts said children cannot get Covid-19?
7,100003,1256227600936177664,"For all the people saying #Covid_19 is just like the #Flu.
There's an average of 17,000 in the uk per annum from flu.
There's been 23,000 deaths in April alone from covid-19 and that's even while we endure the most draconian lockdown ever.
Still think it's no different from flu?"
10,100003,1256064242572300293,"Had a grown man today tell me: 
1. He refuses to watch news, all liars, all of em
2. Can’t believe any numbers, all numbers are spun
3. Yet he has some numbers that he believes, and they demonstrate that Covid 19 is just like the flu 

This is why America is fucked"
11,100003,1256013502298370048,@HughJassman6 @cutzie80 @jim_walkup @SenPolehanki So trumpesque. Now with 61k dead in 3 months and counting you're still ready to go with 'COVID-19 is just like the flu'? What'll it take? Extinction?
13,100003,1255911880436178947,"@Convertbond What about none of these. Might want to add No National Leadership. No early testing. No early Lockdown &amp; I don't mean a soft Shelter in Place. I know how the Chinese would've handled this. None of that, #COVID__19  is just like the flu and it just isn't a problem. Shameful!"
14,100003,1255841759877349376,"@hilltothesouth @Imamofpeace That wasn't my point. This was -

https://t.co/HcIsJsTB5T

And if you still think covid-19 is just like the flu, peace out."
15,100003,1255655200511033344,"@chrislhayes is talking about ""coronavirus trutherism""--US, and worldwide deaths, are up SIXTY PERCENT from the same period last year. 

But, y'know, we gotta open up the country (and watch more people die) because of the ""economy."" Because COVID 19 is ""just like the flu."" 🙄🤦‍♀️"
16,100003,1255638434821083138,Which one of the quack FOX loving doctors on TV is still saying Covid 19 is just like the flu? My parents were reciting it like the sheeple they have become since their indoctrination into FOX. 🤬
17,100003,1255630129000099840,"@LeilaniMunter Covid-19 IS just like the flu. Both are viruses, both can make you feel miserable, one you are generally better after a few days to a week....the other has a good chance of making you win your bet with the life insurance company...."
18,100003,1255568949862957057,"There are still dumb bitches that think COVID-19 is just like the flu.

Wow"
19,100003,1255526790149353472,"@JessicaTarlov @OutnumberedFNC Jessica, speaking as a right-winger, if I hear one more fellow right-winger say covid-19 is just like the flu, I'm going to take hostages. Please mention that"
20,100003,1255285099899293696,"Covid-19 is ""just like the flu"" https://t.co/yJtkEPb5JW"
21,100003,1255226064877555715,"ONS weekly deaths in London, UK, updated for wk 16; the trend continues unabated. A visual aid for those who continue to claim that COVID-19 is ""just like the flu"". https://t.co/hg1GD7tq5x. As seen on 
@MedCrisis https://t.co/8gjG9v5JmA (03:09). #COVID19  #COVID #Tableau #dataviz https://t.co/SGKELV8TcK"
23,100003,1255183675248963585,This doctor who I’ve never heard of but just watched for 12 min on YouTube says Covid-19 is just like the flu. I don’t have any medical or science background but like THIS doctor is absolutely right!
26,100003,1254923219359936512,"Excellent, devastating story. Anyone who says covid-19 is “just like the flu” needs to read this https://t.co/c1UaBU9lU1"
27,100003,1254817528452284426,"""But Covid-19 is just like the flu!"" https://t.co/YUxkwWRifB"
30,100003,1254476000425017344,@TeachOnTheRight @JPL_Reader @tedcruz Please show me some research that states Covid-19 is just like the flu. Preferably CDC/ECDC reasearch
31,100003,1254472790557802499,@soledadobrien We need these international students. Look at the GOP base. They believe the Covid-19 is just like the flu.
32,100003,1254441536261099522,"With people (including many in positions of power and influence) still insisting that Covid-19 is just like the flu, alongside our many information graphics, we have created a special meme just for them. https://t.co/PnXJHbwuUV"
33,100003,1254419960111067136,Really? Because the ones I know were saying COVID-19 is just like the flu until only a few weeks ago https://t.co/M0gdIYMT75
34,100003,1254176799468240897,"Just another post directed at the people out there who still believe that the COVID-19 is ""just like the flu.""

A normal seasonal influenza exposure will cause you to develop antibodies. But COVID-19 is absolutely NOT just like the flu!"
