index,category,text
90000,REAL,Harvard study suggesting coronavirus may have spread in China in August 2019 faces criticism...... || #China #Wuhan #Harvard #UnitedStates #Coronavirus #CoronavirusPandemic #Covid_19 #Pandemic #COVID #COVID19 #COVID2019 #COVIDー19 https://t.co/lmPwqRXasH
90001,REAL,@piersmorgan @T_Deeney It’s obscene and makes no sense to make 22 players plus officials to play a contact sport with no social distancing. Risking their lives while MPs work from home and advising under no circumstances use public transportation and on
90002,REAL,"@Ash02283343 @Purpose_Warrior The issues with false positive results from the PCR test tend to be the result of poor sample collection.  It isn't easy or comfortable to take throat swabs, especially if self-collecting.  The assay itself is pretty accurate"
90003,REAL,Texas Bars Reopen in Defiance of Governor�s Order
90004,REAL,"Department of Housing and Urban Development (HUD) issues guidance for public housing authorities, landlords, shelters, non-profits, grantees, and stakeholders.
https://t.co/ELfjNLc9mH
(12/34)"
90005,REAL,"@ELAdepartmentAR I will RT this, Greetings from Germany , #blueEuropeJoinsBlueUSA #PeaceLoveFreedom"
90006,REAL,"COMMENTARY: COVID-19 Diary Day 10: So Many Questions, No Answers https://t.co/ZLRCw9h91q"
90007,REAL,"New coronavirus (SARS-CoV-2) stable for hours on surfaces and aerosols https://t.co/wS99ZlVtzl #Diseases, News, Virus https://t.co/wS99ZlVtzl"
90008,REAL,@RobertCooper58 Maybe #Ivanka can get them workers she just got 15 million jobs for people
90009,REAL,@andy_mukolo Worth every penny and ⌚
90010,REAL,the only way to stop the disease from spreading is to find out who's infected regardless of whether they think they are or not. https://t.co/CqYTSxCVVL
90011,REAL,"Maybe I'm missing something, but why would it be unsafe for my family to go away for a few days, where we would basically just stay together there? No shopping or sight seeing or restaurants, just being in a different house for a few days? https://t.co/m0J9OBLdGr"
90012,FAKE,"@A_MorganRdr2 Si fuera cierto, con la edad que viene, hay que ir preparando nueva fumata blanca...."
90013,REAL,"See Acute Hepatitis? Consider COVID-19, NY Case Suggests (via @NewfusionApps #Science News)
https://t.co/gX3a3SRR3x"
90014,REAL,COVID-19 vs. previous pandemics https://t.co/0HAxC1euEO via @healthline
90015,REAL,Investigational chimp adenovirus MERS-CoV vaccine protects monkeys | National Institutes of Health (NIH) https://t.co/rDqjYig6af
90016,REAL,"Although these vaccines are not effective against 2019-nCoV, vaccination against respiratory illnesses is highly recommended to protect your health. https://t.co/Qu00YqTLMP"
90017,FAKE,"@lidelsensmening @basarab84 @MihaiHristea @ingerisidemoni @iuliaa2603 @Lory_Radulescu @mariaamichaela Are o laie! Exact. El are cu depopularea si controlul populatiei de aici si pasiunea lui pt vacc., medicina. 
Un sărit de pe fix, ca si altii de tipul l"
90018,REAL,Life in the 'Cabin': Two Months Fighting COVID-19 in Wuhan https://t.co/gV2X8sLAIl via @medscape
90019,REAL,NIH Clinical Trial Shows Remdesivir Accelerates Recovery from Advanced COVID-19 | NIH: National Institute of Allergy and Infectious Diseases https://t.co/8aWLEp7xdq
90020,REAL,@CatherinaOkoro Igbos do it best
90021,REAL,"3. Contracting the new coronavirus DOES NOT mean you will have it for life.

4. Drinking alcohol does not protect you against COVID-19 and can be dangerous.

5. COVID-19 virus can be transmitted in areas with hot and humid climates..."
90022,FAKE,"3 new cases and 1 new death in Israel 

[7:20 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic"
90023,REAL,"First childhood flu helps explain why virus hits some people harder than others: People first exposed to the less severe strain, H1N1, during childhood were less likely to end up hospitalized if they encountered H1N1 again https://t.co/VuMTolVTEK"
90024,REAL,"COVID-19 virus can be transmitted in areas with hot and humid climates

#Covid_19 #virus #COVID19italia #covid19UK #Covid19usa #Covid19fr #WuhanCoronavirus #2019nCoV #Wuhan #coronavirus #China https://t.co/zMLoFfssi4"
90025,REAL,"Can eating garlic help prevent infection with the new coronavirus?
Garlic is a healthy food that may have some antimicrobial properties. However, there is no evidence from the current outbreak that eating garlic has protected people from the new coronavirus. https://t.co/jqJLzLRaqX"
