index,category,text
20000,REAL,"Doc Suspended for Exposing Poor Social-Distancing Practices
https://t.co/aRvQTTiy4O"
20001,REAL,@Andy_Briggs_Sr So waitress go back at 2.83 an hour with way less tips. We make more with takeout at this point
20002,REAL,"@WHO @DrTedros @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO It’s not a simple decision!But I believe my country,I believe our government!Everybody is trying to stop the virus,we are doing something and it also works!Now we need everybody to"
20003,REAL,COVID-19 vaccine candidate shows promise in first peer-reviewed research https://t.co/qp6Jf2OMS5 via @medical_xpress
20004,REAL,@heartizs :&gt; https://t.co/NljO7yCPkD
20005,REAL,Can I catch COVID-19 from my pet?
20006,REAL,Trendz NewsBD New COVID-19 antibody test may reflect virus immunity more accurately https://t.co/pOowJwa1m0 #health
20007,REAL,COVID-19: How many strains of the new coronavirus are there? https://t.co/Eo2Xqfwsa6 via @healthline
20008,REAL,@fatzdomingo @joannaccherry Yup set up a quarantine village outside the airports where we do have control.
20009,REAL,"Face masks critical in preventing spread of COVID-19
Study found that wearing a face mask stopped person-to-person spread of the virus
https://t.co/qefV7pxjNg

Prevent yourselves from catching/spreading: this has
involved challenging patienthood https://t.co/lXyMA9M3lc"
20010,REAL,He Survived COVID-19. Can His Blood Help Others? https://t.co/aBPNSBOENA https://t.co/oYrA0EPP94
20011,REAL,Im gonna watch the City match but do any of these results actually mean anything. Season is over just feels like going through the motions and for what purpose?
20012,REAL,Study finds remdesivir effective against a key enzyme of coronavirus that causes COVID-19 https://t.co/7cPDcXKY79
20013,REAL,"As you are staying healthy by eating your 🍏🍊🥒🌶🥬🍓Here is some great guidance on to wash them prior to enjoying them 🧡
#Repost who
・・・
Q: How should I wash fruit and vegetables in the time of #COVID19?
#coronavirus… https://t.co/Hcy7MwSKtM"
20014,REAL,How long is the incubation period for COVID-19? https://t.co/7kJ5N1sV7U
20015,FAKE,�OSHA says masks don�t work� to reduce COVID-19 transmission �and violate OSHA oxygen levels.�
20016,FAKE,@NorthmanTrader @scientificecon Markets drive the economy and the collapse is inevitable https://t.co/YncOqL3QF1 timing is the coronavirus hoax https://t.co/vx1KbqVjTg
20017,REAL,Rapid infectious disease shifts in Chinese children and adolescents prior to COVID-19 https://t.co/cwNM9mElq9
20018,REAL,"2) Person-centred: goes online to gain a sense of relatedness with others through a variety of means - i.e., personal stories/vlogs.  &lt;--(not escapism or avoidance)

3) Crisis-situation: immediate need for on/offline help to address in-situ distress."
20019,FAKE,"@wonderclutz @SteveDeaceShow I don't like it when someone pees on me and tells me it's raining. Sorry you do.

If you don't like the challenge to your worldview, go ahead and block me so you won't get upset when I point out how he lies to his audience."
20020,REAL,brian wheeler says council has given guidance that only virtual meetings should be held at this time. the problem with meeting in the pavilion is it would be difficult to broadcast that online.
20021,REAL,@Nursingandemer1 A
20022,REAL,"Mosquito, Tick Populations Unchecked Amid COVID-19 - WebMD https://t.co/f0zqLyAJpW"
20023,REAL,Hamsters develop protective immunity to COVID-19 and are protected by convalescent sera: In… https://t.co/OvDkxAGc0y
20024,REAL,"Empty shelves &amp; purchasing limits of high-demand items - heres how grocery stores across the US are responding to #COVID19👇 &amp; some tips from leading retailers for your #business to keep your consumers safe✊
https://t.co/nsDHKhbEMc
#supermarkets #retail #shopping #food #foodtech"
20025,REAL,"@ohara_polly 1 - He doesn’t know much of anything. 
2 - He counts on his supporters not knowing much of anything."
20026,REAL,"I do not understand, massive protests and riots in NYC starting in late May, now 3 weeks later and no increase in COVID cases or deaths 

So much we don’t know about transmission https://t.co/wMFnCac65U"
20027,REAL,Coping With Budget Stress During the Pandemic https://t.co/Ks1eAbNwAb https://t.co/o5dhkXtDwr
20028,REAL,"@captain15 @KamalaHarris What about the pandemic? Do we just decide it's over because people are running out of money?  I like working too but I'm not really into giving a deadly virus to my friends, family, and coworkers."
20029,REAL,@thefreakofmusic @EntourageEric This is my Carly girl. https://t.co/jxCPOAuVkY
20030,REAL,"@LindseyGrahamSC @henrymcmaster @SenatorTimScott @SCETV Spreading misinformation!!            COVID-19 virus can be transmitted in areas with hot and humid climates

From the evidence so far, the COVID-19 virus can be transmitted in ALL AREAS, including a"
20031,REAL,New Coronavirus Stable for Hours on Surfaces | NIH: National Institute of Allergy and Infectious Diseases https://t.co/kHwVsolLwK
20032,REAL,Anesthesiologists Are Vital in the COVID-19 Fight: The Toll It Takes https://t.co/1we5cn1R7A
20033,FAKE,@OratorBlog @DJNazSD We don’t need toilet paper use the constitution.
20034,REAL,@Cruella1 The current Government's advice on what is safe cannot be trusted. It's infuriating. Please take care and stay healthy.
20035,REAL,NIH-supported research survey to examine impact of COVID-19 on rare diseases community https://t.co/eq4ybCc4fm
20036,REAL,NIH clinical trial of investigational vaccine for COVID-19 begins https://t.co/VYe6Cxn6Fy
20037,REAL,"Look, even if you still believe home ownership is not for you- 

1. Don't downplay the decision that others have made to become home owners.

2. Just own SOMETHING.

Annnd that concludes my TED talk. Thanks for coming 👊"
20038,FAKE,"っえ陽性だって😱

Royal Palace confirms Queen Elizabeth tests positive for coronavirus https://t.co/NmkvLerlUI"
20039,REAL,@DarrenLuke1 @stigma_hope @Woblinks1 @WestSideEcon @GavinNewsom Huh?!! What point are you trying to make? C-19 is also a lot more contagious than the flu.
20040,REAL,"@NIH NIH is redundant(&amp;unneeded).
Clinical trials already being conducted by real boots-on-ground doctors around world: The HCQ cocktail for tx of COVID-19 (Successfully!) = HCQ+Zinc(Zn), w/ azithromycin for tx'g secondary infection.
[NIH=RiggedTrialR"
20041,REAL,"When your kids ask you is it safe for them to go back in public places and School, Play with their friends, full contact sports ect. What will you say knowing what's really going on. Will you lie? Or tell the truth? We will beat covid19, but how many lives will be lost by the way https://t.co/3QVLyMo0NY"
20042,REAL,@citizentvkenya Lakini tulikosea wapi aki🤦‍♂️🤦‍♂️🤦‍♂️
20043,REAL,"@CarmenKleinegri Dat testen van de immuun respons is ook nog in een experimenteel stadium. Overigens wel met hoopvolle resultaten maar niet meer dan dat.

First detailed analysis of immune response to SARS-CoV-2 bodes well for COVID-19 vaccine development"
20044,REAL,"You can be infected by breathing in the virus if you are within 1 metre of a person who has COVID-19, or by touching a contaminated surface and then touching your eyes, nose or mouth before washing your hands."
20045,FAKE,"@PDChinese Coronavirus in China: 23 Million QUARANTINED, 2.8 Million Infected; 112,000 DEAD"
20046,REAL,Critics Lead Gilead to Drop Coronavirus Drug Status
