index,category,text
80000,REAL,"@EnglishD97 @BarstoolUofM @TuckerCarlson I believe in goodwill to all, not just to men, not just to white people, or rich people, or straight people, or Christians. Tucker Carlson and his Fox cohorts actively and irresponsibly promulgated lies about the C"
80001,REAL,Preventing spread of SARS coronavirus-2 in humans https://t.co/mTx4BwytLM via @JelvinSmith
80002,REAL,@LiberatedMind17 @dudewithsign What’s the point of wearing a mask if they’re not washing their hands?
80003,REAL,Fauci Warns That Pandemic ‘Isn’t Over Yet’ https://t.co/XKgKLD7wx5 from @WebMD
80004,REAL,"@kylegriffin1 @MrJonCryer The virus is across the country, from sea to shining sea."
80005,REAL,From Research to Response: Survey Shifts Gears During COVID-19
80006,REAL,@SirLeoBDasilva But the educated people here have refused to stay in their houses. Lagos is getting overwhelmed and it might get a bit dicey but yes Kano could easily overtake lagos because of that their unserious governor.
80007,REAL,"@Snubs And this why I stay away, I would prefer to live in happy ignorance"
80008,REAL,https://t.co/50gkVWt72e Coronavirus: How does Covid-19 spread? These new studies offer clues. - https://t.co/YMpaSzxTms https://t.co/kgbvfuz2oL https://t.co/7cgCEh8zwj
80009,REAL,@crzyPete 🤣 the research came prematurely 🤭
80010,FAKE,COVID-19: Chinese health authorities confirm patient zero 'had sex with bats' https://t.co/K66xvYnicq
80011,REAL,11. The new coronavirus CANNOT be transmitted through mosquito bites. https://t.co/ZRL8bjRkpl
80012,REAL,@MowtenDoo pogger man
80013,REAL,"#Repost who
・・・
Q: How should I wash fruit and vegetables in the time of #COVID19?

#coronavirus #knowthefacts https://t.co/GyUZdcW0he"
80014,REAL,Autopsy: George Floyd tested positive for COVID-19 | https://t.co/no1AxMOLz1 https://t.co/I6TKddfKk1
80015,REAL,Antiviral remdesivir prevents disease progression in monkeys with COVID-19 | National Institutes of Health (NIH)  https://t.co/CX3hoPjf2l
80016,REAL,@EmbryEthan It’s science.... wear the mask! https://t.co/M3zSmt3j9e
80017,REAL,@fiverr @petermckinnon When can we expect TheShortFilmChallenge result to be announced? :D
