index,category,text
45000,REAL,"For the last one week, Kerala's  department of health @KeralaHealth has been publishing detailed daily bulletins on #coronavirus and the district level update. 

Is MoHFW, NVBDCP or National Centre for Disease Control(NDMC)  publishing anything similar? @MoHFW_INDIA @nvbdcpmohfw https://t.co/qkRkRtPjEh"
45001,REAL,Numbers Lacking on COVID-19-Infected Healthcare Workers https://t.co/GL9fDBVY0b
45002,REAL,@MisterGorgo @ZaykozaV2 @nomura115 @IGN There’s a difference between food and pets
45003,REAL,Beware of false negatives in diagnostic testing of COVID-19 https://t.co/djAzZrhMcc #covidsafe
45004,REAL,"Coronavirus: Germany dashes tourism sector's hopes on lockdown - BBC News https://t.co/2G1v1RcXLm 
  
But in a blow to its tourism sector, its warning against worldwide travel has now been extended until 14 June."
45005,FAKE,#LockThemAllUp #GhislaineMaxwell #GhislaineMaxwellTrial #EpsteinCoverup #EvilJustice #EvilFBI #EvilCongress https://t.co/CviQeY91in https://t.co/KJ77dawCcR
45006,FAKE,RT @Richard_D_Boyle Researchers at Harvard University - our main response to climate change should be to curb carbon dioxide emissions; geoengineering alone simply wouldn't be capable of fully remedying root of environmental problems https://t.co/rMT4qUNB0e #research #science
45007,REAL,2. Are antibiotics effective in preventing and treating the new coronavirus? #CoronavirusSouthAfrica https://t.co/y0WvAky7Kf
45008,REAL,"#Indiana residents who need help feeding their families during #COVID19pandemic will have greater access to assistance from food banks &amp; pantries through Disaster Household Distribution program approved by the USDA FNS:
https://t.co/KqxmaWKBmw
(27/34)"
45009,REAL,@WHO @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO WHO should concern Tibet and Mongolia also as China shared that there is no case of corona virus in Tibet and Mongolia but it is not true... they haven’t shut down airline from China to Tibe
45010,REAL,@pagetsam Government statistics!
45011,REAL,"COVID-19 vaccine candidate shows promise, research shows https://t.co/VFBRDvMDdm"
45012,REAL,"*Commercial Business Development Executive-Power Sector*
Our client is an energy renewable company with an off grid energy distribution business stream. Our client seeks to hire a business &amp; commercial Development Executive to join her team.

Thread"
45013,REAL,#COVID19 myth buster: The new coronavirus CANNOT be transmitted through mosquito bites. https://t.co/yV0Cplt6xi
45014,REAL,"@x_sood Yeah but like I said, only time can tell"
45015,REAL,"@NIH Better kate than never,it appears it's been prescribed...."
45016,REAL,"102 Potential COVID-19 Vaccines In Development- WHO
https://t.co/BazLUBZm2H"
45017,FAKE,"Vatican confirms Pope Francis and two aides test positive for Coronavirus 
https://t.co/0d7HEqFkCK"
45018,REAL,And motion passes #MAEdu
45019,REAL,CDC COVID-19 Response Health Equity Strategy: Accelerating Progress Towards Reducing COVID-19 Disparities and Achieving Health Equity
45020,FAKE,@agrofood_plant Queen forget to cover her face from his son in her home. Scary new world that we don't know about the rules so better to get distance from everyone. 🙏
45021,REAL,"@matthewcummer5 @TheAdamoProject @GovJanetMills No, its not. There are rules."
45022,REAL,"That failure is one of the fundamental, overriding problems with the modern tech industry as a whole. So when you scream for changes as a result of the problems we already have--you need to stop to consider if those changes are reducing attack vectors, or adding them."
45023,REAL,"@PelzelTaylor We appreciate your interest. While we have no details to share about beta tests/programs, you can reach out to @googledevs or visit this page for more help: https://t.co/Q1GUc6n0i5"
45024,REAL,"@mccanner “Is it safe to go out to eat?”
No."
45025,REAL,"CDC Adds 6 Symptoms To Its COVID-19 List : Coronavirus Live Updates : NPR

“It has now added six more conditions that may come with the disease: chills, repeated shaking with chills, muscle pain, headache, sore throat and new loss of taste or smell.” https://t.co/lLMbBGmaho"
45026,REAL,@BuzzFeedNews Keep everyone away from your baby.
45027,REAL,A fifth to half of all coronavirus deaths have been in nursing homes: https://t.co/s907CLfE4K
45028,REAL,@HGiamarco @yashar I'm out there working every day but a .02% chance of dying isn't dancing with death.
45029,REAL,"Remdesivir: FDA Gives Emergency Authorization : Coronavirus Live Updates 

https://t.co/ytMbssyzlM"
45030,REAL,"Can eating garlic help prevent infection with the new coronavirus?

We are here to spread the right information, please do not panic with the misinformation spread online. Only believe facts which are shared by your government health bodies or the WHO.

#Coronavirus #Covid19 https://t.co/MHiyuWjiVb"
45031,REAL,"Masks no longer required in West Wing, McEnany says https://t.co/IsosobfY7b https://t.co/tOAxnYpPLk"
45032,REAL,@stevejetcity @MaryGeise yep
45033,REAL,"January 29: WHO Retweet of the United Nations: “The new #coronavirus (2019-nCoV), originating in China, has reached 10 other countries and so far more than 2,000 cases have been confirmed.  Follow these tips from @opsoms for international travelers: GRAPHIC” https://t.co/XGXy7CPYn8"
45034,REAL,"@TexasDSHS @CDCgov Can we get updated info of recovered numbers? Gregg County is still reporting all numbers, and not removing any that have recovered and it has been a month since we started getting positives, but somehow nobody seems to keep up with rec"
45035,FAKE,Royal Palace confirms Queen Elizabeth tests positive for coronavirus https://t.co/xq2CW1cpEQ
45036,REAL,"New coronavirus stable for hours on surfaces
https://t.co/rC1l54UVAs"
45037,REAL,"From my Dm

We are a Real Estate Procurement, Marketing and Development Company in Ajah, Lagos Nigeria.

We are small effective and efficient team driven by service delivery and excellent. 

We have the following vacancies within our organisation and we would"
45038,REAL,"@LadyFantasticOC @dougducey @VP Translation: ""you need to mandate that rich kids with technology at home and parents that can help teach should be allowed to stay at home to learn while kids that don't have those things get left behind.""  Virtual learning"
45039,REAL,Voluntary public disclosure on the financial impact of the COVID-19 pandemic
45040,REAL,@NewsMedical Interesting new article on heart diseases and COVID-19 =&gt; https://t.co/GywormgqcW
45041,REAL,"@medical_xpress @physorg_com @PLOSPathogens Interesting. 
@PeterHotez"
45042,REAL,National stockpile almost out of PPE https://t.co/wqYFFmhbNE via @CBSNews
45043,REAL,"Dr Jerome Kim of the @IVIHeadquarters in Seoul, talks about the challenges behind developing a #COVID19 #vaccine during the recent online edition of the Education City Speaker Series. 

More details here: https://t.co/v5Ltj4Zyv3 

@QF @WISHQatar https://t.co/TSSAn0kPzj"
45044,REAL,@vdcl_001 Be safe
45045,REAL,Loss of smell and taste validated as COVID-19 symptoms in patients with high recovery rate. Study suggests clinicians should include sensory impairment as standard screening measure https://t.co/5aO9nqe4n6 https://t.co/TfxNX36vDo
45046,FAKE,@CristoReySpain @MonarquiaEspana @Pontifex_es @TvPlataforma @EMADmde @guardiacivil @policia @EjercitoTierra @EjercitoAire @Armada_esp @aduanassva @TRECE_es @COPE @La1_tve @agaramendil @lorenzoamor_ata @ivanedlm @InesArrimadas @TeoGarciaEgea @antena3com @t
45047,REAL,#COVID19 myth buster: Can an ultraviolet disinfection lamp kill the new coronavirus? https://t.co/SVZaakFGty
45048,FAKE,@carmindabrendel That would mean that every City in China would have to be a Hot Zone....??
45049,REAL,"#Mythbusters #COVID19UG 

The new coronavirus CANNOT be transmitted through mosquito bites.
#StaySafeStayHome 
#coronakindness https://t.co/IS1bj6mKpH"
45050,REAL,@ChinaDaily I believe that heavily concentrated garlic might actually prove effective in killing the virus
45051,FAKE,@Ah_3la2 The website is sarcastic 🤦🏾‍♂️
45052,REAL,Pandemic 'Silver Lining:' Better Sleep for Some https://t.co/cOokqY7RDl
45053,REAL,@daily_trust Doesn't the weather play a vital role on this? Considering how hot it gets in certain places
45054,FAKE,"@PhillyInquirer Unless they have an underlying condition? Many, many do. They are at risk. That’s not arguing for or against, but the cavalier and ignorant dismissal of thousands of children deserves to be called out."
45055,REAL,"Taking a hot bath does not prevent the new coronavirus disease

Wash your hands to protect yourself against COVID-19

Stay safe, stay at home!

#UptownSkyllaZirakpur #COVID19 #IndiaFightsCorona #RealEstate https://t.co/22fBYjWDas"
