index,category,text
0,FAKE,@kimmyifuplease @56blackcat It proves how deep the evil resides. Karma will assure he has a miserable pre-death. My MIL died of stage 4 lung cancer. Half a lung removed. She suffered a lot.
1,REAL,"Antiviral remdesivir prevents disease progression in monkeys with COVID-19 
https://t.co/b3YvrUekqE"
2,REAL,"2
I really couldn’t say, for certain but, I can say, here in Canada where the dispensaries and compassion clubs, all remain illegal but many still, thankfully, still serve the needs of the patients, unlike our government’s endless “schemes”."
3,REAL,"COVID-19 Exposes Potential Gaps in PPE Training, Effectiveness
https://t.co/7PoN7WmbcR 
#COVID19 #COVID_19 #coronavirus #ppe #ppetraining #getmeppe #getusppe #protectallworkers #meded #foamed #pandemic #hcsm"
4,REAL,"#MythBusters Are antibiotics effective in preventing and treating the new coronavirus?

#StopTheSpread https://t.co/0kpyKuWXs8"
5,REAL,"@logan48227 @KatieAnn417 @mdoyle913 @freep It sounds like “It isn’t supported by our previous scientific evidence with other viruses, but it seems like it makes ppl feel better.” https://t.co/kjEVc2eBe3"
6,REAL,Coronavirus fight: possible COVID-19 drug identified by scientists https://t.co/2DavYwNoKA
7,REAL,@OmarChughtai Charges?
8,REAL,@kfor https://t.co/ZtLYJyH0DL https://t.co/2BLrKuLvOv
9,REAL,@AlexBerenson @JohnCornyn Meaning that MANY people can be asymptomatic carriers. So why don’t people understand why they need to wear masks in public whether they are sick or not?
10,REAL,Study Finds Rise in Domestic Violence During COVID
11,REAL,People with large social networks are more civil online https://t.co/coJA8y7FlA via @healthline
12,REAL,"We will not only continue to be collective tainted as the evil group, we will also find ourselves having the females that are dear to us become victims of this unspeakable evil. We must take our actions against this scourge further."
13,REAL,"@billy40913438 @matt86211326 @FishTankwSharks @DavidLe12056560 @krupali @ABC Umm maybe because this is more contagious , no vaccine (see flu shot statement) a person can go days without showing symptoms ? Show me where the last time the flu made people ne"
14,REAL,COVID-19 treatment: New findings may bring researchers a step closer https://t.co/eI58ZlRFJH via @Medicine Fitness
15,REAL,@SCMPNews 不对，你的爸爸们😋
16,REAL,@chandranavee @amitkashyap123 @SunoRishi @TheDeshBhakt Claps for you. Why do we even need the term minority. Can't we say equals. And what about the jodhpur case where a hindu has been lynched by muslims. No one is calling it a lynhing or crying abt it.
17,REAL,Getting Back to Work Safely After Lockdown https://t.co/kHeRe0tNMr https://t.co/j5qE1EHibI
18,REAL,Trump: Social Distancing Efforts Won?t Last Months
19,REAL,@deray Maybe it's where assholes congregate after they've heard you can get coronavurus from close contact. What i want to know is do they throw their keys into a bowl and swap partners like back in the 70's?...that would make the party a little dangerous
20,REAL,@CNN @SethAbramson This is what I needed thanks
21,REAL,"@StephenAtHome @DrLaPook I have a question for Dr. LaPook. Why are they serving the ""Trump cocktail"" to Covoid patients at his hospital?"
22,FAKE,"@aquigley2 @loveusa2018 @HeshmatAlavi @SecPompeo when he says “We’ve tested more than every country combined” or fired inspector general Michael Atkinson brought a “terrible, inaccurate whistleblower report” to Congress or “I've always felt it"
23,REAL,"@maddow Exactly. If people don’t like to stay stuck @ home, then wear a stupid mask and keep your distance and stay home when ill or if you know you are exposed to covid 19. It’s easy."
24,REAL,NIH Clinical Trial of Investigational Vaccine for COVID-19 Begins | NIH: National Institute of Allergy and Infectious Diseases https://t.co/nFEWV6xeqH
25,REAL,What are the effects of COVID-19 on the lungs? https://t.co/7cL2ZfSMS8 via @healthline
26,REAL,@LaurenToronto4 This is Charlie. But I call him Cho-Cho (short for precioso) https://t.co/e6wlB9q2ul
27,REAL,"Social distance, ""That's two metres, right?""
""Over reaction, can't give me a fright!""
""I'm not old, not weak, not sick! 
""Why should I worry, what's the hidden trick?""

[Chorus]"
28,REAL,@ABC Power is greedy ... !!!
29,REAL,@walidgellad What a waste of time and money...everyone knows there is no benefit to using HCQ for hospitalized patients. We’ve known that since the beginning. Just another setup.
30,REAL,"COVID-19 vaccine candidate shows promise, research shows - https://t.co/DmjpNsLW8t"
31,REAL,"scenario discrimination. Such a parallel route, if it runs via asymptomatic or paucisymptomatic persons, could provide for a path to recovered and therefore immune persons. The other route is comprised of symptomatic persons, which may require additional care. If the ..."
32,REAL,@WHO @WHOWPRO @WHOSEARO @WHO_Europe @pahowho @WHOEMRO @WHOAFRO 你丫是闲得真无聊
33,REAL,@wonyoungforever @robloxt44840556 Please don’t trade with heh hi “robloxt” she’s been commenting on my proofs about me being a scammer and then trying to scam people on my posts
34,REAL,27 coronavirus myths busted https://t.co/ZLDNvDrHSp via @healthline
