index,category,text
55000,REAL,"More Vitamin D, Lower Risk of Severe COVID-19? https://t.co/a1RCz7bpdz from @WebMD"
55001,REAL,"""gatherings for some time. It's heartbreaking because Lollapalooza is fun; all of our outdoor music festivals are fun. A lot of things about Chicago in the summertime are fun. And we are looking at ways ... to do a lot of those performances virtually and still give people the ..."
55002,REAL,Father Michael Pfleger of Saint Sabina says people can receive food from its food pantry and it's also servicing senior buildings with food too. It also has an employment resource center with virtual job training and a tech center for people to come in and use computers.
55003,REAL,Can antiretrovirals be used to prevent COVID-19 infection?
55004,REAL,Any apology wouldn’t go  amiss https://t.co/o44OElawUU
55005,REAL,"Aquí otro tutorial de cómo se realiza una prueba rápida:

https://t.co/zmh5Vno5yv"
55006,REAL,"How does COVID-19 spread?
#WHO #SunitaToursAndTravels #StaySafe #Covid-19 #SayNoToFakeMessages https://t.co/y3cpXKTLiI"
55007,FAKE,Bill and Melinda Gates Foundation &amp; Others Predicted Up To 65 Million Deaths Via Coronavirus – In Simulation Ran 3 Months Ago! https://t.co/LVYgtogyLt
55008,REAL,"200/x

Outdoor events can carry 2.5X increase in the rate of infection due to Super Spreading/Seeding events, via @ScottGottliebMD, @medrxivpreprint, @FaceTheNation:
https://t.co/sAkqnXRv0v"
55009,FAKE,"I do not understand, massive protests and riots in NYC starting in late May, now 3 weeks later and no increase in COVID cases or deaths 

So much we don’t know about transmission https://t.co/wMFnCac65U"
55010,REAL,1st-Known U.S. Lung Transplant For COVID-19 Patient Performed In Chicago https://t.co/wDXrKsZTj4
55011,REAL,How Well Do Americans Know the Facts About COVID? https://t.co/oJqvq5D0k1
55012,REAL,"MYTH-13: ARE ANTIBIOTICS EFFECTIVE IN PREVENTING AND TREATING THE NEW CORONAVIRUS?

No, antibiotics do not work against viruses, only bacteria.

The new coronavirus (2019-nCoV) is a virus and, therefore, antibiotics should not be used as a means of prevention or treatment.

15/n"
55013,REAL,Shining light on a malignant lung cancer https://t.co/JHWIK3FG1x
55014,REAL,"“THE U.S. IS NEARLY AT AN OFFICIAL SARS COV-2 INFECTION LEVEL OF 1 MILLION CASES at now 972,969 cases.” The Hill: CORONAVIRUS REPORT: States begin to reopen, but uncertainty remains | Birx says social distancing likely will last through summer | https://t.co/Z3dND8BTkU"
55015,REAL,"And then by sheer numbers, hospitals are overwhelmed with nowhere near enough beds nor lifesaving equipment to treat so many. Then things that are normally treatable (appendicitis, trauma, stroke, heart attacks, little accidents) are left by the wayside because there is not a bed"
55016,REAL,Racial inequalities in COVID-19 — the impact on black communities https://t.co/VNnMKwkrqr 출처 @healthline
55017,REAL,@Unlocked_UK_ There’s no virus. There’s nobody wanting to be injected with media invested vaccines for Gates either. Who is paying presenters high salaries to f*ck a nation. 👈
55018,REAL,@NBCPhiladelphia Ooooh lord! This is enough! Im so sick of this virus. It has ruined how we live our lives. This has got to stop.
55019,REAL,@HelenBranswell @CDCgov The government also said we should mostly eat grain...so I’ll take it as general as that nonsense
55020,REAL,"Tips for safe grocery shopping
#Coronavirus #groceryshopping #safteytips https://t.co/mTN7ap5jQd"
55021,REAL,@GovernorMasari Very good development
55022,REAL,"@ARDPGI when can we expect result of sepsivac drug trial for covid 19, its been in news around 3-4 weeks ago, is their any progress? I haven't seen any new info on that drug, please let us know about when is the earliest estimate of trial results? It is o"
55023,REAL,"Can You Catch COVID-19 Through Your Eyes?
Learn more here: https://t.co/DTuSPbBMd0"
55024,REAL,@Gazz_Ma_Tazz @AJEnglish Not dead....not recovered
55025,REAL,"🇽🇰: @BIRN_Network Platform to help citizens follow #coronavirus restrictions

Our colleagues in Kosovo helped launch a platform called “Your 90 Minutes” to help citizens know when they are allowed to leave their homes, amid a tightening of #COVID19 restrictions in the country."
55026,REAL,@TheCollectiveQ WHY ISN’T ZINC SULFATE PART OF THIS PROTOCOL???
55027,REAL,New article clarifies details of COVID-19 respiratory transmission @atscommunity https://t.co/7Rch4swJzw
55028,REAL,@kevinjdavis Great just what people need a PR thinking they're going to save the world... The Fibdems are laughable
55029,REAL,"#GeoElive Session 3: Panel on #carbondioxide removal (#CDR)
#geoengineering #climatechange
@ASUplanetworks
https://t.co/LqU70hXmAT"
55030,REAL,"Q. Is there a vaccine, drug or treatment for COVID-19?
A. Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. Possible vaccines and some specific drug treatments are under investigation. #CoronaVirusUpdates #coronavirusindia"
55031,REAL,"COVID-19 also has affinity for cells in the lower respiratory tract and can replicate there, causing radiological evidence of lower respiratory tract lesions in patients who do not present with clinical pneumonia"
55032,REAL,"...the reality of less than 5%, in line with last year's flu. And the profiles are about personal details only, nothing about possible underlying conditions, which would give this context. Context, which is what we need right now, not more fear."
55033,REAL,Thumbs up for my university: Newly discovered cell type plays a crucial role in the immune response to respiratory infections https://t.co/qoI713V9ng
55034,REAL,"@DanzaDragon You're bought into the fear mongering.
This so-called pandemic is a hoax and this stay-at-home shutdown is founded on lies.
I mean, you brits are total bootlickers but americans want to get back to work because most people realize this is all"
55035,REAL,How South Korea Successfully Battled COVID-19 While the U.S. Didn?t
55036,REAL,#CMS Chief Says $81B Released in Accelerated Payments for COVID-19 now trending on Monkey Viral - https://t.co/BayqyzmZPw
55037,FAKE,@LaMakaSegovia @PublimetroChile Entonces revisa por; confirms Queen Elizabeth tests positive for coronavirus #royalpalace 🤷🏽‍♂️
55038,REAL,Via Health Now - NIH Director: Defeating COVID-19 requires unprecedented action and collaboration | National Institutes of Health (NIH) | #COVID19 #NIH  https://t.co/sHs4K5SZ2u
55039,REAL,"For all of the people saying that the house you live in is not an investment,
you must not know how building wealth works. Let me school you --&gt;"
55040,REAL,"@JonStanich @michaeljburry This is the Fauci editorial written February 29!!! Then he saw the Korea data, and was like ""oops, uh oh."" He literally testified before Congress less than 2 weeks later that the case fatality rate was ""10 times"" that of the flu"
55041,REAL,Can you catch COVID-19 through your eyes? What to know about eye transmission https://t.co/EVXGwcmkrp
55042,REAL,First U.S. coronavirus death may have come weeks earlier than originally believed https://t.co/DeMBsG77zR via @nbcnews
55043,REAL,People Who Are at Increased Risk for Severe Illness
55044,FAKE,All the people using #EndTheShutdown because Covid-19 is “just like the flu” yea but this it’s more violet and deadly And people with this mindset are gonna be the reason for the death of our species. The lockdown is killing me too but we gotta hold on and persevere out of this.
55045,REAL,@TheGod_Particle @Freewillburnya @JustSayingWhat1 @____Roar____ @jools6691 @Jaxhomegirl @stevensoileau1 @Mental_Universe @MDH_UAR @Sicut_Lupus @EcoEvoDevo @dougstone2019 @SlsStudios @HazyPeter @odktiger @GlennB10809975 @malo_j @M0sstr00per @1pckt @Tertius
55046,REAL,Defining paths to possible mother to child coronavirus transmission https://t.co/xiTAmyPwMf
55047,REAL,"In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!"
55048,REAL,"Wearing surgical masks in public could help slow COVID-19 pandemic’s advance 
World Health Organization Anthony Hodgson https://t.co/6opzy7misu"
55049,REAL,"Novel Coronavirus (2019-nCoV) advice for the public: #MythBusters #Coronavirus

Does the new coronavirus affect older people, or are younger people also susceptible?

Courtsey - @WHO https://t.co/6xz6q3iZm0"
55050,REAL,The latest HurshalNewZ Group.! https://t.co/FVwHbkp8Tv Thanks to @MMary144 @LCaxtonbrown @WKGS_Geography #climatechange #geoengineering
55051,REAL,Timing of immune response to COVID-19 may contribute to disease severity says study - https://t.co/4qi4DImu90 https://t.co/rDXREp9jms
55052,REAL,"The prolonged use of medical masks* when properly worn, DOES NOT cause CO2 intoxication nor deficiency of oxygen. 

@WHO
#COVID19India #coronavirus #WHO https://t.co/X8QagwIeQP"
55053,REAL,"@stripey2121 Good Afternoon Steve 🇦🇺🦘😎.It's a pity something so attractive can have nasty effects on pets. Wet and wintry here, so by the fire with 🫖 . Have a lovely day , take care, stay safe xx.🐱🐶🐶🐱🐱🐶🐶🐱"
55054,REAL,"At present, no drug has been proven to be safe and effective for treating COVID-19. There are no Food and Drug Administration (FDA)-approved drugs specifically. #COVID19
Recommendations #hydroxychroloquine #remdesivir #Azithromycin https://t.co/7SCrhlnPmw"
55055,REAL,@tonnie_njuguna @citizentvkenya @veejay___ @MikeSonko Yes bana! https://t.co/e2qPP3z1dM
55056,REAL,@Laurie_Garrett Can we make masks? Who has a pattern? A good task for dressmakers locked up. #coronavirusau
55057,FAKE,"Is it fact? Corona virus is Bio Weapon to be created by human? 

 Share this content Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon - Right Now Minnesota:  https://t.co/0ttQ3R1na1"
55058,REAL,"Do vaccines against pneumonia protect you against the new coronavirus?
No. Vaccines against pneumonia, such as pneumococcal vaccine and Haemophilus influenza type B (Hib) vaccine, do not provide protection against the new coronavirus."
55059,REAL,"What Pregnant Women Should Know About Coronavirus: The risks, so far, seem no greater than for anyone else, but the research is thin and only applies to later stage of pregnancy. https://t.co/5mWcbOWA45 https://t.co/NNY37ViDO5"
55060,REAL,COVID-19 Vaccine Tracker: Get the latest updates on the vaccine development for Corona https://t.co/EYVWjemvIb via @rohitbind07 https://t.co/54k5Zmg8pe
55061,REAL,Sudden Loss of Taste and Smell Should Be Part of COVID-19 Screen https://t.co/9G27DYkeoJ via @medscape
55062,REAL,@TomJonesWSBTV @wsbtv I can’t imagine how hot it is in those suits
55063,REAL,Tips for safe grocery shopping during coronavirus pandemic https://t.co/R4uAonc5Sv I am here for this.
55064,REAL,"RT newscientist ""Coronavirus: What we know so far about risks to pregnancy and babies https://t.co/TWR8eYlXj3 https://t.co/48UC0qh8Hv"""
55065,REAL,@RachelAcenas @OANN It’s a conspiracy!!!!!the king ....he has no clothes!!!!!!!
55066,REAL,"So I had a telemedicine visit with my doctor today.

It's basically a video call.  

However, it was useful in several ways. (a thread)"
55067,REAL,Researchers identify potential coronavirus vaccine and therapy targets https://t.co/lSgJKJ1Lab
55068,REAL,"FACT: Can pets at home spread the new coronavirus (2019-nCoV)?
At present, there is no evidence that companion animals/pets such as dogs or cats can be infected with the new coronavirus. @karanvgrover22 @SandiipSikcand @StarPlus #KHKTCoronaCampaign https://t.co/HWdtek8Y9W"
55069,REAL,"More Vitamin D, Lower Risk of Severe COVID-19? https://t.co/QDqebJ8NdB from @WebMD"
55070,REAL,"#CoronaVirusUpdate #Coronavirusmyths 
#CoronaVirusPakistan #CoronavirusOutbreakindia 
COVID-19 virus can be transmitted in areas with hot and humid climates https://t.co/NTCU5dclal"
55071,REAL,CPR Still Encouraged During COVID-19 Pandemic https://t.co/FEQ8L9vgNN from @WebMD
